Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jenis kelamin satwa,Jenis satwa,Jumlah,Satuan,Keterangan,Umur satwa
NK_Maret_2023_000004,Ground,29-Mar-23,29-Mar-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,8,29-Mar-23,11:32:38 AM,109.9342383,-1.052418333,11/8/2023 13:45,smart smart,Satwa Liar,Perjumpaan Satwa,Jantan,Owa Kalimantan - Hylobates albibarbis,2,ekor,perjumpaan satwa liar kelempiau,Remaja
NK_April_2023_000014,Ground,16-Apr-23,16-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,8,16-Apr-23,2:23:10 PM,109.9243033,-1.052891667,11/8/2023 13:44,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Burung,1,ekor, burung Pempidan,Dewasa
NK_April_2023_000014,Ground,16-Apr-23,16-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,8,16-Apr-23,2:23:10 PM,109.9243033,-1.052891667,11/8/2023 13:44,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Owa Kalimantan - Hylobates albibarbis,1,ekor,Kelempiau,Remaja
NK_April_2023_000014,Ground,16-Apr-23,16-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,7,16-Apr-23,2:07:57 PM,109.921815,-1.052733333,11/8/2023 13:44,smart smart,Satwa Liar,Perjumpaan Satwa,Jantan,Viver hujau - Tropidolaemus subannulatus,1,ekor,Ular viver hijau,Remaja
PB_Oktober_2023_000006,Ground,25-Oct-23,25-Oct-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,12,25-Oct-23,9:00:24 AM,109.851555,-1.041853333,11/3/2023 15:52,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Kura-kura,1,ekor,Perlu diobservasi ,Remaja
NK_Maret_2023_000006,Ground,6-Apr-23,6-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,9,6-Apr-23,2:43:51 PM,109.939125,-1.05928,11/8/2023 13:45,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Orangutan Kalimantan - Pongo Pygmaeus,1,ekor,melintasi saaat kami berjalan,Dewasa
PB_September_2023_000007,Ground,20-Sep-23,20-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,16,20-Sep-23,9:40:28 AM,109.854865,-1.038136667,9/22/2023 9:06,smart smart,Satwa Liar,Perjumpaan Satwa,Jantan,Kura-kura,1,ekor,Perlu diobservasi ,Remaja
NK_Januari_2023_000011,Ground,21-Jan-23,21-Jan-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,10,21-Jan-23,2:09:01 PM,109.93123,-1.057725,11/8/2023 13:45,smart smart,Satwa Liar,Perjumpaan Satwa,Jantan,Ular viper daun - Trimeresurus borneensis,1,ekor,"Ditemukan seekor 🐍 viver hijau di 
Ranting kayu",Remaja
NK_Juli_2023_000006,Ground,29-Jul-23,29-Jul-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,3,29-Jul-23,1:02:45 PM,109.9291717,-1.053533333,11/8/2023 13:44,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Orangutan Kalimantan - Pongo Pygmaeus,1,ekor,Penemuanorangutan,Dewasa
NK_Mei_2023_000007,Ground,25-May-23,25-May-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,3,25-May-23,10:10:27 AM,109.9334567,-1.057451667,11/8/2023 13:44,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Orangutan Kalimantan - Pongo Pygmaeus,2,ekor,Berjumpa dgn orang utan 2 ekor..di blok33,Dewasa
PM_April_2023_000007,Ground,27-Apr-23,27-Apr-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,8,27-Apr-23,1:32:23 PM,109.909465,-1.073171667,11/9/2023 9:35,smart smart,Satwa Liar,Perjumpaan Satwa,Betina,Kura-kura,1,ekor,ketemu kura kura,Tidak tahu
PB_Oktober_2023_000004,Ground,23-Oct-23,23-Oct-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,23-Oct-23,8:14:26 AM,109.8536833,-1.035383333,11/4/2023 20:08,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Kura-kura,1,ekor,Perlu diobservasi,Remaja
NK_April_2023_000015,Ground,17-Apr-23,17-Apr-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,15,17-Apr-23,2:51:44 PM,109.92716,-1.052813333,11/8/2023 13:59,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Katak,1,ekor,Kodok hutan,Remaja
PK_September 2023,Ground,8-Sep-23,14-Sep-23,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Dwi Dwi,Jalan Kaki,5,12-Sep-23,10:25:47 AM,109.84882,-1.061388333,11/9/2023 10:13,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Burung,1,ekor,,Dewasa
PK_September 2023,Ground,8-Sep-23,14-Sep-23,Pulau Kumbang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Dwi Dwi,Jalan Kaki,6,13-Sep-23,11:20:00 AM,109.8554167,-1.055823333,11/9/2023 10:13,smart smart,Satwa Liar,Perjumpaan Satwa,Betina,Orangutan Kalimantan - Pongo Pygmaeus,1,ekor,,Dewasa
PB_Juni_2023_000002,Ground,17-Jun-23,17-Jun-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,19,17-Jun-23,9:39:46 AM,109.9229967,-0.987415,7/10/2023 10:56,smart smart,Satwa Liar,Perjumpaan Satwa,Jantan,Kura-kura,1,ekor,Perlu diobservasi,Remaja
NK_Januari_2023_000012,Ground,22-Jan-23,22-Jan-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,3,22-Jan-23,10:20:48 AM,109.9370967,-1.050945,11/8/2023 13:45,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Orangutan Kalimantan - Pongo Pygmaeus,1,ekor,"Perjumpaan satwa melintas dari arah4
D30 ke arah D 28",Remaja
NK_Januari_2023_000012,Ground,22-Jan-23,22-Jan-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,4,22-Jan-23,10:53:22 AM,109.93844,-1.048945,11/8/2023 13:45,smart smart,Satwa Liar,Perjumpaan Satwa,Jantan dan betina,Elang,2,ekor,"Perjumpaan satwa burung hantu
Melintas di D29",Dewasa
NK_Januari_2023_000012,Ground,22-Jan-23,22-Jan-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,13,22-Jan-23,2:11:54 PM,109.9383967,-1.054176667,11/8/2023 13:45,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Ular,1,ekor,Ular 🐍,Anakan
PM_September_2023_000005,Ground,15-Sep-23,15-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,15-Sep-23,3:51:00 PM,109.9150467,-1.099458333,11/9/2023 9:35,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Lebah madu - Apis dorsata,1,kelompok,sarang lebah madu,Tidak tahu
PJ_Juli_2023_000002,Ground,13-Jul-23,13-Jul-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,6,13-Jul-23,9:02:28 AM,110.05587,-1.125665,7/27/2023 21:20,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Lutung Merah - Presbytis rubicunda,1,ekor,Ketemu kelasi,Tidak tahu
PJ_April_2023_000006,Ground,17-Apr-23,17-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,15,17-Apr-23,9:17:17 AM,110.043065,-1.13286,5/10/2023 10:39,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Lutung Merah - Presbytis rubicunda,1,ekor,Ketemu kelasi,Dewasa
PJ_Mei_2023_FFI_000008,Ground,23-May-23,23-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,14,23-May-23,8:45:38 AM,110.047585,-1.130063333,5/28/2023 10:49,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Lutung Merah - Presbytis rubicunda,3,ekor,Menemukan kelasi,Tidak tahu
PJ_Februari_2023_000001,Ground,13-Feb-23,13-Feb-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,15,13-Feb-23,10:38:54 AM,110.0527333,-1.12558,3/2/2023 9:11,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Burung,1,ekor,,Tidak tahu
PJ_April_2023_000003,Ground,14-Apr-23,14-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,4,14-Apr-23,7:45:27 AM,110.048075,-1.12631,5/9/2023 20:27,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Tupai,1,ekor,Ketemu munsang,Tidak tahu
PJ_Oktober_2023_FFI_000006,Ground,26-Oct-23,26-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,7,26-Oct-23,10:03:05 AM,110.05644,-1.126746667,10/30/2023 20:34,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Rangkong Badak - Buceros rhinoceros,1,ekor,,Tidak tahu
RP_Agustus_2023_000006,Ground,27-Aug-23,27-Aug-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Arianto Arianto,Jalan Kaki,495,27-Aug-23,12:23:37 PM,110.049251,-1.138819009,11/6/2023 14:38,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Kura-kura,1,ekor,,Dewasa
PJ_Oktober_2023_FFI_000007,Ground,25-Oct-23,25-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,19,25-Oct-23,10:12:51 AM,110.05932,-1.132235,10/27/2023 7:00,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Ular viper daun - Trimeresurus borneensis,1,ekor,Ular pesan,Tidak tahu
PJ_Juni_2023_FFI_000005,Ground,19-Jun-23,19-Jun-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,4,19-Jun-23,8:00:10 AM,110.04886,-1.125733333,6/28/2023 14:26,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Owa Kalimantan - Hylobates albibarbis,2,ekor,Ketemu kelempiaw,Tidak tahu
RP_September_2023_000001,Ground,20-Sep-23,20-Sep-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Dedet Harpandi,Jalan Kaki,5,20-Sep-23,9:17:39 AM,110.058885,-1.160156667,11/6/2023 14:43,smart smart,Satwa Liar,Perjumpaan Satwa,Tidak tahu,Viver hujau - Tropidolaemus subannulatus,1,ekor,Perjumpaan,Dewasa
