Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Satuan,Pelanggaran,Penyebab Kebakaran,Perlu tindak lanjut,Tindakan,Tipe temuan
PB_April_2023_000002,Ground,14-Apr-23,14-Apr-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,14-Apr-23,9:03:19 AM,109.8550983,-1.021618333,5/11/2023 11:13,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000003,Ground,11-Sep-23,11-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,11-Sep-23,9:08:41 AM,109.9161767,-1.096306667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000003,Ground,11-Sep-23,11-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,7,11-Sep-23,9:53:59 AM,109.91112,-1.103241667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000003,Ground,11-Sep-23,11-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,7,11-Sep-23,9:53:59 AM,109.91112,-1.103241667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PB_September_2023_000001,Ground,7-Sep-23,7-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,7-Sep-23,10:05:17 AM,109.8775067,-1.022603333,9/22/2023 9:13,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Masih terbakar
PB_September_2023_000001,Ground,7-Sep-23,7-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,7-Sep-23,8:34:55 AM,109.8786883,-1.020298333,9/22/2023 9:12,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Masih terbakar
PM_September_2023_000006,Ground,16-Sep-23,16-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,16-Sep-23,2:20:45 PM,109.88814,-1.072223333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000006,Ground,16-Sep-23,16-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,16-Sep-23,2:25:38 PM,109.8872267,-1.072118333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000006,Ground,16-Sep-23,16-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,16-Sep-23,11:30:17 AM,109.8912133,-1.072835,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
NK_Januari_2023_000008,Ground,15-Jan-23,15-Jan-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,17,15-Jan-23,4:10:17 PM,109.93781,-1.055765,11/8/2023 13:45,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,1,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PB_September_2023_000002,Ground,8-Sep-23,8-Sep-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,8-Sep-23,8:24:40 AM,109.877535,-1.022728333,9/22/2023 9:19,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PB_Feb_2023_000001,Ground,20-Feb-23,20-Feb-23,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,48,20-Feb-23,11:11:29 AM,109.879455,-1.029901667,3/7/2023 9:25,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,1,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000004,Ground,13-Sep-23,13-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,13-Sep-23,1:37:00 PM,109.9011833,-1.0955,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,4,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000004,Ground,13-Sep-23,13-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,13-Sep-23,2:04:47 PM,109.9025267,-1.094445,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,6,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000004,Ground,13-Sep-23,13-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,13-Sep-23,2:33:49 PM,109.9023733,-1.09364,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,6,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000004,Ground,13-Sep-23,13-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,13-Sep-23,1:51:09 PM,109.9025033,-1.095858333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,6,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,12,9-Sep-23,10:31:18 AM,109.9,-1.067285,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,3,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,9,9-Sep-23,8:57:31 AM,109.90065,-1.062516667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,6,9-Sep-23,8:38:01 AM,109.90051,-1.063953333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,9-Sep-23,8:25:59 AM,109.9020483,-1.065145,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,13,9-Sep-23,10:40:22 AM,109.9015833,-1.066028333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,9-Sep-23,8:23:37 AM,109.9020517,-1.065531667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,7,9-Sep-23,8:42:50 AM,109.9021833,-1.064348333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,9-Sep-23,8:31:22 AM,109.9005483,-1.064726667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000001,Ground,9-Sep-23,9-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,8,9-Sep-23,8:49:00 AM,109.9026167,-1.062463333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,10,10-Sep-23,10:51:03 AM,109.8954717,-1.089913333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,10-Sep-23,8:34:19 AM,109.8955367,-1.088313333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,10-Sep-23,9:05:13 AM,109.8908933,-1.089108333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,8,10-Sep-23,10:23:10 AM,109.8901367,-1.089346667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,7,10-Sep-23,10:19:56 AM,109.8907917,-1.088691667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,10-Sep-23,8:42:14 AM,109.89361,-1.088676667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000002,Ground,10-Sep-23,10-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,9,10-Sep-23,10:25:17 AM,109.8898617,-1.089341667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,0,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000005,Ground,15-Sep-23,15-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,4,15-Sep-23,3:33:01 PM,109.9134133,-1.100408333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,5,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000005,Ground,15-Sep-23,15-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,5,15-Sep-23,3:41:25 PM,109.9174867,-1.097806667,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,5,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PM_September_2023_000005,Ground,15-Sep-23,15-Sep-23,Pemangkat,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samlia Samlia,Jalan Kaki,3,15-Sep-23,2:26:44 PM,109.8971517,-1.092323333,11/9/2023 9:35,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Potensi terbakar
NK_September_2023_000001,Ground,7-Sep-23,7-Sep-23,Nipah Kuning,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Juhari Juhari,Jalan Kaki,7,7-Sep-23,11:32:43 AM,109.93535,-1.088683333,11/8/2023 13:45,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,2,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
RP_Juni_2023_000004,Ground,23-Jun-23,23-Jun-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,3,23-Jun-23,8:57:39 AM,110.05578,-1.152266667,11/6/2023 14:44,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,1,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
RP_Juni_2023_000004,Ground,23-Jun-23,23-Jun-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,4,23-Jun-23,9:06:56 AM,110.0562317,-1.151968333,11/6/2023 14:44,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,4,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Sengaja dibakar
PJ_September_2022_000002,Ground,8-Sep-23,8-Sep-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,3,8-Sep-23,8:22:53 AM,110.030355,-1.099128333,9/17/2023 18:39,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,1,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
PJ_September_2022_000001,Ground,6-Sep-23,6-Sep-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,3,6-Sep-23,7:02:18 AM,110.0201017,-1.116535,9/17/2023 18:39,smart smart,Aktivitas Manusia,Kebakaran Hutan dan Lahan,1,hektar,Ya,Tidak Tahu,Ya,Diobservasi,Bekas kebakaran
